80 30
10 8 8
8 4 15
7 15 14
4 16 5
16 8 15
11 8 5
6 19 3
3 18 10
15 14 1
17 10 2
1 14 14
18 13 11
12 19 5
10 1 9
2 17 11
4 5 16
12 17 11
12 10 16
15 11 16
17 0 7
8 8 11
0 17 2
5 2 7
4 14 7
10 11 13
13 18 4
0 12 4
9 12 4
2 18 7
16 15 2
2 10 9
15 18 9
15 4 14
5 6 18
14 7 19
13 15 17
0 15 8
7 18 3
16 10 12
4 3 12
10 8 15
8 16 11
15 9 12
17 15 19
8 16 3
1 13 12
6 15 1
12 3 3
15 9 2
8 12 19
15 17 0
6 13 1
10 12 2
7 0 15
17 16 17
0 14 4
1 13 18
14 1 12
6 7 18
1 11 2
12 2 14
16 19 12
1 7 18
8 13 10
9 7 8
2 2 8
0 17 0
6 13 5
6 3 5
12 2 10
3 4 3
18 16 15
14 14 10
17 13 5
3 8 17
5 17 12
16 17 18
3 3 2
16 16 16
6 3 18
